date,symbol,name,instrument_type,action,strategy,score,score_details,price,entry,stop,target,reward_risk,qty,notional,estimated_round_trip_cost,reason
2026-05-02,AAPL,Apple,stock,WATCH,trend_pullback,88.3,"strategia +8.0, trend +5.8, R/R +0.0, RSI +5.0, rischio +8.0, volumi +7.4, universo +4.0, costi +0.0",280.14,280.14,265.07,310.28,2.0,0,0.0,0.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Segnale non eseguito in paper: capitale/size non sufficiente con i limiti attuali."
2026-05-02,AAPL,Apple,stock,WATCH,controlled_breakout,90.3,"strategia +10.0, trend +5.8, R/R +0.0, RSI +5.0, rischio +8.0, volumi +7.4, universo +4.0, costi +0.0",280.14,280.14,269.3991,301.6218,2.0,0,0.0,0.0,"Breakout sopra massimo recente in trend primario positivo, con volume superiore alla media e RSI sotto soglia estrema. Segnale non eseguito in paper: capitale/size non sufficiente con i limiti attuali."
2026-05-02,GOOGL,Alphabet,stock,WATCH,near_breakout_setup,57.2,"radar breakout, distanza livello 0.04%, volume x1.12",385.69,,,,,0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-02,COST,Costco,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 0.96%",1011.7,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,WMT,Walmart,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 3.00%",131.6,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,WMT,Walmart,stock,WATCH,near_breakout_setup,66.3,"radar breakout, distanza livello 0.65%, volume x0.63",131.6,,,,,0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-02,LLY,Eli Lilly,stock,WATCH,trend_pullback,70.9,"strategia +8.0, trend +5.0, R/R +0.0, RSI +10.0, rischio -8.0, volumi +3.9, universo +2.0, costi +0.0",963.33,963.33,850.51,1188.97,2.0,0,0.0,0.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Segnale non eseguito in paper: capitale/size non sufficiente con i limiti attuali."
2026-05-02,CAT,Caterpillar,stock,WATCH,near_breakout_setup,56.3,"radar breakout, distanza livello 0.82%, volume x1.03",889.67,,,,,0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-02,XOM,Exxon Mobil,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 0.30%",152.75,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,ASML.AS,ASML Holding,stock,WATCH,trend_pullback,91.6,"strategia +8.0, trend +18.0, R/R +0.0, RSI +10.0, rischio +2.0, volumi -0.4, universo +4.0, costi +0.0",1222.4,1222.4,1151.2819,1364.6362,2.0,0,0.0,0.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Segnale non eseguito in paper: capitale/size non sufficiente con i limiti attuali."
2026-05-02,SU.PA,Schneider Electric,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 1.77%",268.6,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,TTE.PA,TotalEnergies,stock,WATCH,trend_pullback,89.6,"strategia +8.0, trend +18.0, R/R +0.0, RSI +10.0, rischio +2.0, volumi +1.6, universo +0.0, costi +0.0",79.29,79.29,74.1,89.67,2.0,0,0.0,0.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Segnale non eseguito in paper: capitale/size non sufficiente con i limiti attuali."
